"Sl.
No.",Well Name,"Depth
(m)","Object
",Formation,C27 18α-trisnorhopane (C27 Ts),C27 17α-trisnorhopane (C27 Tm),Bicadinane (BCD) ,Bisnorhopane (BNH),C29 Hopane (C29H),C29 Ts,Diahopane,C29 Moretane C29M,18α-Oleanane (OLa),18β-Oleanane (OLb),C30 Hopane ,,C31 Homohopane (C31HH),,C32 Homohopane (C32HH),,C33 Homohopane (C33HH),,C34 Homohopane (C34HH),,C35 Homohopane (C35HH),,Total HH (C31HH+C32HH+C33HH+C34HH+C35HH),"Tm
Ts","C27
Ts
Ts+Tm","C29H
C30H","C30M
C30H","C30H
H
H+M","C31H
S
S+R","C32H
S
S+R","C33H
S
S+R","C34H
S
S+R","C35H
S
S+R","Homohopane
index","C35 S
C34S
(Homohopane)",BCD INDEX,"Oleanane 
 Index",C29Ts/( C29 H+C29Ts),Diahopane Index,BNH Index,C31HH (R)/ C30H,C30 diahopane/C29Ts,%C31HH,%C32HH,%C33HH,%C34HH,%C35HH,
,,,,,,,,,,,,,,,C30H,C30M,S,R,S,R,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A,1,I,X,22252,18054,8500,88483,60700,14854,22161,12780,8790,,69430,6690,34729,28569,24621,20268,19865,14302,15402,10419,16511,10935,195621,0.81,0.55,0.87,0.10,0.91,0.55,0.55,0.58,0.60,0.60,0.14,1.07,0.12,0.11,0.20,0.24,0.56,0.41,1.49,32.36,22.95,17.47,13.20,14.03,
2,B,2,II,Y,17270,7070,8400,753,8483,9319,23676,3076,1345,,13134,1898,5074,4575,3121,2621,1855,1709,1512,1150,1025,646,23288,0.41,0.71,0.65,0.14,0.87,0.53,0.54,0.52,0.57,0.61,0.07,0.68,0.64,0.09,0.52,0.64,0.05,0.35,2.54,41.43,24.66,15.30,11.43,7.18,
3,C,3,III,Z,5580,25281,8100,3938,32460,34886,80035,8078,7607,,62808,9987,19028,16086,12156,11598,7185,8088,5211,4151,2913,2081,88497,4.53,0.18,0.52,0.16,0.86,0.54,0.51,0.47,0.56,0.58,0.06,0.56,0.13,0.11,0.52,0.56,,0.26,2.29,39.68,26.84,17.26,10.58,5.64,
4,D,4,IV,X,32466,16176,7200,3819,22107,19409,43277,4564,6251,,45234,6486,15536,12175,10343,8082,5937,5560,4279,2560,2113,1377,67962,0.50,0.67,0.49,0.14,0.87,0.56,0.56,0.52,0.63,0.61,0.05,0.49,0.16,0.12,0.47,0.49,0.08,0.27,2.23,40.77,27.11,16.92,10.06,5.14,
5,E,5,V,Y,61283,23206,7700,7295,18228,37467,91768,10225,,,20208,3265,9833,10303,7800,7705,4587,5810,4637,3640,2658,1134,58107,0.38,0.73,0.90,0.16,0.86,0.49,0.50,0.44,0.56,0.70,0.07,0.57,0.38,0.00,0.67,0.82,0.27,0.51,2.45,34.65,26.68,17.89,14.24,6.53,
6,F,6,I,Z,30684,25591,6500,4650,76426,33935,28590,6026,,,146417,12581,59694,41770,42211,27236,29851,19511,18046,12948,12847,7891,272005,0.83,0.55,0.52,0.09,0.92,0.59,0.61,0.60,0.58,0.62,0.08,0.71,0.04,0.00,0.31,0.16,0.03,0.29,0.84,37.30,25.53,18.15,11.39,7.62,
7,G,7,II,X,105998,46747,6900,9237,74186,80248,121694,12982,16307,,137912,20963,40637,57849,29396,21254,23210,16102,10183,7691,6117,3858,216297,0.44,0.69,0.54,0.15,0.87,0.41,0.58,0.59,0.57,0.61,0.05,0.60,0.05,0.11,0.52,0.47,0.06,0.42,1.52,45.53,23.42,18.18,8.26,4.61,
8,H,8,III,Y,37012,16036,8700,2883,18762,28514,43080,5486,1627,,21053,2580,11328,18868,7707,6471,8596,5489,4034,3625,4129,1857,72104,0.43,0.70,0.89,0.12,0.89,0.38,0.54,0.61,0.53,0.69,0.08,1.02,0.41,0.07,0.60,0.67,0.12,0.90,1.51,41.88,19.66,19.53,10.62,8.30,
9,I,9,IV,Z,209727,178653,4500,19487,559009,197573,98017,48048,,,598892,65020,360688,255603,230729,171493,170135,115063,109282,70499,106175,66743,1656410,0.85,0.54,0.93,0.11,0.90,0.59,0.57,0.60,0.61,0.61,0.10,0.97,0.01,0.00,0.26,0.14,0.03,0.43,0.50,37.21,24.28,17.22,10.85,10.44,
