S.No.,Well Name,"Depth(m)/
Object",Formation/Age,Collection date,Molecular Composition of Gases (% Mol),,,,,,,,,,,,,"Stable Carbon Isotopic values
(δ13C ‰)",,,,,,,,,,,,,
10,MBS181HNA-1,1930.18/ MDT,Mahuva,22.01.2025,83.27,6.54,2.61,0.84,0.58,0.3,0.21,0.09,11.83,1.03,4.53,0,0,-41.09,-24.79,-22.99,-23.56,-23.7,-22.26,-23.68,-18.19,9.11,2.51,-1.8,0.92,12.73951163,2.544708316
11,MBS181HNA-1,2426.2/ MDT,Panna,14.02.2025,82.82,6.19,2.94,0.68,0.92,0.4,0.4,0.47,12.65,0.61,4.58,0,0,-40.4,-27.8,-26.06,-26.03,-25.6,-25.4,-25.54,-7.27,9.07,2.11,-1.74,0.75,13.37181813,2.593149367
12,MBS181HLA-1,2676-2666/ I,Diu-belapur,13.03.2025,83.4,9.37,3.59,0.53,0.59,0.13,0.12,0.05,14.72,2.2,0,0,0.01,-42.6,-29.7,-25.3,-26.7,-24.8,-,-,-,6.43,2.61,-4.4,0.96,8.899324966,2.185975427
13,MBS202HCA-1,2309.79/ RCI,Lr Bassein,23.11.2024,75,10.91,7.49,1.6,2.4,0.75,0.81,0.45,24.55,0.02,0.56,0,0.03,-41.2,-28.47,-25.96,-26.33,-25.04,-25.62,-25.46,-15.81,4.08,1.46,-2.51,0.38,6.874129935,1.927765081
14,MBS202HBA-1,2438-2430/ II,Upper Bassein,04.03.2025,97.8,0.11,0,0,0,0,0,0,0.11,2.02,0,0,0.08,-39.1,-,-,-,-,-,-,-,920.02,-,-,-,920.023535,6.824399251
15,MBS202HBA-1,2516-2502/ I,Lr Bassein,09.02.2025,58.04,15.96,0.07,0,0,0,0,0,21.64,24.33,1.61,0,0,-41.84,-28.1,-,-,-,-,-,-17.9,3.62,241.95,-,5.49,3.637086205,1.291182868
"* Gas samples of Well BS-19, 2281.81/ MDT is found to be contaminated with air ",,,,,,,,,,,,,,,,,,"Wetness Index (%), C2+ = sum of (C2-C6+)/(C1-C6+)* 100",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"C1/C2+C3 = Methane / (Ethane + Propane)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"delC2-delC3 = delta 13C ethane - delta 13C propane",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Ln(C2/C3) = Natural Log (Ethane / Propane)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"C1/C2 = Methane / Ethane",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"Ln(C1/C2) = Natural Log (Methane / Ethane)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
(Vidushi Joshi),,,,,,,,,,,,,,,,,,,,,,
Senior Chemist,,,,,,,,,,,,,,,,,,,,,,
